sceneCategory,sceneID,id,gt_bc_plan_len,gt_success,vorm_bc_plan_len,vorm_success,fcl_bc_plan_len,fcl_success,grn_bc_plan_len,grn_success
RigidObjCellShelfDesk,0,0,2,1,2,0,2,0,1,0
RigidObjCellShelfDesk,0,1,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,2,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,3,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,4,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,5,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,6,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,7,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,8,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,9,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,10,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,11,4,0,0,0,0,0,1,0
RigidObjCellShelfDesk,0,12,2,0,2,0,0,0,1,0
RigidObjCellShelfDesk,0,13,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,14,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,15,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,16,1,1,1,1,1,0,1,1
RigidObjCellShelfDesk,0,17,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,18,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,19,2,0,2,0,0,0,1,0
RigidObjCellShelfDesk,0,20,2,0,2,0,2,0,1,0
RigidObjCellShelfDesk,0,21,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,22,3,0,3,0,3,1,1,0
RigidObjCellShelfDesk,0,23,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,24,2,1,2,1,2,1,1,0
RigidObjCellShelfDesk,0,25,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,26,3,0,0,0,2,0,1,0
RigidObjCellShelfDesk,0,27,2,1,2,1,2,1,1,0
RigidObjCellShelfDesk,0,28,2,0,2,0,2,0,1,1
RigidObjCellShelfDesk,0,29,3,0,3,1,4,0,1,0
RigidObjCellShelfDesk,0,30,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,31,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,32,2,0,2,0,2,1,1,0
RigidObjCellShelfDesk,0,33,2,1,2,1,0,0,2,1
RigidObjCellShelfDesk,0,34,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,35,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,36,3,0,3,0,4,0,1,0
RigidObjCellShelfDesk,0,37,2,0,2,0,2,0,0,0
RigidObjCellShelfDesk,0,38,2,0,0,0,2,0,1,0
RigidObjCellShelfDesk,0,39,3,0,0,0,0,0,1,0
RigidObjCellShelfDesk,0,40,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,41,2,0,3,1,4,0,1,0
RigidObjCellShelfDesk,0,42,2,0,2,0,2,1,1,0
RigidObjCellShelfDesk,0,43,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,44,2,1,2,1,0,0,2,0
RigidObjCellShelfDesk,0,45,1,0,1,0,1,0,1,0
RigidObjCellShelfDesk,0,46,1,1,1,1,1,1,1,1
RigidObjCellShelfDesk,0,47,2,1,0,0,0,0,1,0
